,film,budget,genres,original_language,popularity,production_companies,release_date,runtime,revenue
0,Hot Tub Time Machine 2,14000000.0,"[{'id': 35, 'name': 'Comedy'}]",en,6.575393,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'United Artists', 'id': 60}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2015-02-20,93.0,12314651.0
1,The Princess Diaries 2: Royal Engagement,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,8.248895,"[{'name': 'Walt Disney Pictures', 'id': 2}]",2004-08-06,113.0,95149435.0
2,Whiplash,3300000.0,"[{'id': 18, 'name': 'Drama'}]",en,64.29999,"[{'name': 'Bold Films', 'id': 2266}, {'name': 'Blumhouse Productions', 'id': 3172}, {'name': 'Right of Way Films', 'id': 32157}]",2014-10-10,105.0,13092000.0
3,Kahaani,1200000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",hi,3.174936,,2012-03-09,122.0,16000000.0
4,Marine Boy,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",ko,1.14807,,2009-02-05,118.0,3923970.0
5,Pinocchio and the Emperor of the Night,8000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",en,0.743274,,1987-08-06,83.0,3261638.0
6,The Possession,14000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,7.286477,"[{'name': 'Ghost House Pictures', 'id': 768}, {'name': 'North Box Productions', 'id': 22637}]",2012-08-30,92.0,85446075.0
7,Control Room,0.0,"[{'id': 99, 'name': 'Documentary'}]",en,1.949044,,2004-01-15,84.0,2586511.0
8,Muppet Treasure Island,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",en,6.902423,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jim Henson Productions', 'id': 2504}, {'name': 'Jim Henson Company, The', 'id': 6254}]",1996-02-16,100.0,34327391.0
9,A Mighty Wind,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",en,4.672036,"[{'name': 'Castle Rock Entertainment', 'id': 97}]",2003-04-16,91.0,18750246.0
10,Rocky,1000000.0,"[{'id': 18, 'name': 'Drama'}]",en,14.774066,"[{'name': 'United Artists', 'id': 60}]",1976-11-21,119.0,117235147.0
11,Revenge of the Nerds II: Nerds in Paradise,0.0,"[{'id': 35, 'name': 'Comedy'}]",en,10.54375,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Amercent Films', 'id': 5263}, {'name': 'American Entertainment Partners L.P.', 'id': 5264}, {'name': 'Interscope Communications', 'id': 10201}]",1987-07-10,98.0,22642033.0
12,American Beauty,15000000.0,"[{'id': 18, 'name': 'Drama'}]",en,20.726578,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Jinks/Cohen Company', 'id': 2721}]",1999-09-15,122.0,356296601.0
13,Be Cool,53000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,13.314233,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2005-03-04,118.0,95226116.0
14,Minority Report,102000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",en,20.666063,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Blue Tulip Productions', 'id': 766}, {'name': 'Ronald Shusett/Gary Goldman', 'id': 26265}, {'name': 'Digital Image Associates', 'id': 76068}]",2002-06-20,145.0,358372926.0
15,Skinning,500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",sr,1.018477,"[{'name': 'Hypnopolis', 'id': 51316}]",2010-10-06,97.0,198.0
16,Red Eye,26000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,6.336927,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Craven-Maddalena Films', 'id': 1600}, {'name': 'BenderSpink', 'id': 6363}]",2005-08-04,85.0,57891803.0
17,The Invisible Woman,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,4.183558,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Headline Pictures', 'id': 13151}, {'name': 'Magnolia Mae Films', 'id': 18188}, {'name': 'Taeoo Entertainment', 'id': 26783}]",2013-12-25,111.0,1234254.0
18,Chalet Girl,8000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,6.496259,"[{'name': 'UK Film Council', 'id': 2452}, {'name': 'Prescience', 'id': 6901}, {'name': 'Aegis Film Fund', 'id': 7309}, {'name': 'Kaleidoscope Films', 'id': 29305}]",2011-02-02,96.0,1749457.0
