,index,film,budget_processed,genre_1,original_language,popularity,release_date,runtime,revenue
0,0,Hot Tub Time Machine 2,14000000,Comedy,en,6.575393,2/20/15,93.0,12314651.0
1,1,The Princess Diaries 2: Royal Engagement,40000000,Comedy,en,8.248895,8/6/04,113.0,95149435.0
2,2,Whiplash,3300000,Drama,en,64.29999,10/10/14,105.0,13092000.0
3,3,Kahaani,1200000,Thriller,hi,3.174936,3/9/12,122.0,16000000.0
4,4,Marine Boy,18000000.0,Action,ko,1.14807,2/5/09,118.0,3923970.0
5,5,Pinocchio and the Emperor of the Night,8000000,Animation,en,0.743274,8/6/87,83.0,3261638.0
6,6,The Possession,14000000,Horror,en,7.286477,8/30/12,92.0,85446075.0
7,7,Control Room,18000000.0,Documentary,en,1.949044,1/15/04,84.0,2586511.0
8,8,Muppet Treasure Island,18000000.0,Action,en,6.902423,2/16/96,100.0,34327391.0
9,9,A Mighty Wind,6000000,Comedy,en,4.672036,4/16/03,91.0,18750246.0
10,10,Rocky,1000000,Drama,en,14.774066,11/21/76,119.0,117235147.0
11,11,Revenge of the Nerds II: Nerds in Paradise,18000000.0,Comedy,en,10.54375,7/10/87,98.0,22642033.0
12,12,American Beauty,15000000,Drama,en,20.726578,9/15/99,122.0,356296601.0
13,13,Be Cool,53000000,Comedy,en,13.314233,3/4/05,118.0,95226116.0
14,14,Minority Report,102000000,Action,en,20.666063,6/20/02,145.0,358372926.0
15,15,Skinning,500000,Action,sr,1.018477,10/6/10,97.0,198.0
16,16,Red Eye,26000000,Horror,en,6.336927,8/4/05,85.0,57891803.0
17,17,The Invisible Woman,18000000.0,Drama,en,4.183558,12/25/13,111.0,1234254.0
18,18,Chalet Girl,8000000,Comedy,en,6.496259,2/2/11,96.0,1749457.0
19,19,Transporter 2,32000000,Action,en,11.359659,8/2/05,87.0,85167639.0
20,20,Lost in Space,80000000,Adventure,en,12.000579,4/3/98,130.0,136159423.0
21,21,Friday the 13th Part III,4000000,Horror,en,7.99229,8/13/82,95.0,36690067.0
22,22,V/H/S,18000000.0,Thriller,en,7.820787,7/28/12,116.0,100345.0
23,23,InSight,18000000.0,Thriller,en,1.323333,9/2/11,92.0,17011.0
24,24,Black Sheep,18000000.0,Horror,en,7.434577,9/9/06,87.0,4947717.0
25,25,Dr. Giggles,18000000.0,Comedy,en,1.252367,10/23/92,95.0,8403433.0
26,26,The Spanish Prisoner,10000000,Crime,en,4.305735,9/8/97,110.0,13835130.0
27,27,What If,11000000,Drama,en,10.841891,9/7/13,93.0,7847000.0
28,28,The Transformers: The Movie,6000000,Animation,en,6.759181,8/8/86,84.0,5849647.0
29,29,Changing Lanes,45000000,Action,en,7.81862,4/7/02,89.0,94935764.0
30,30,The Intouchables,13000000,Drama,fr,16.086919,11/2/11,112.0,426480871.0
31,31,Caché,18000000.0,Mystery,fr,5.69586,5/2/05,117.0,36000000.0
32,32,The Last Witch Hunter,90000000,Fantasy,en,13.412445,10/21/15,106.0,146936910.0
33,33,ABCs of Death 2,18000000.0,Horror,en,8.254856,10/2/14,125.0,7171.0
34,34,Rush Hour 3,140000000,Action,en,9.718111,8/8/07,91.0,258022233.0
35,35,Safe,30000000,Action,en,8.234382,4/16/12,94.0,40346186.0
36,36,About Adam,18000000.0,Comedy,en,2.100499,1/28/00,105.0,151559.0
37,37,Outbreak,50000000,Action,en,13.676444,3/10/95,127.0,189859560.0
38,38,Final: The Rapture,18000000.0,Thriller,en,0.32926,9/13/13,90.0,92100.0
39,39,Major Dundee,3800000,War,en,3.055936,4/7/65,123.0,14873.0
40,40,Cocaine Cowboys,18000000.0,Action,en,2.941626,4/26/06,118.0,163000.0
41,41,Cool Hand Luke,3000000,Crime,en,9.718713,6/22/67,126.0,16217773.0
42,42,The Next Best Thing,25000000,Comedy,en,2.971999,3/3/00,108.0,24362772.0
43,43,5 Flights Up,6000000,Drama,en,9.383088,9/5/14,92.0,1020921.0
44,44,The Wedding Date,15000000,Comedy,en,5.615303,2/4/05,88.0,47175038.0
45,45,The Double Hour,3906840,Crime,it,2.382068,10/9/09,95.0,4300000.0
46,46,Ice Age: The Meltdown,80000000,Animation,en,16.646029,3/23/06,91.0,660940780.0
47,47,The Hateful Eight,44000000,Crime,en,20.328822,12/25/15,167.0,155760117.0
48,48,Wilson,18000000.0,Drama,en,8.984386,3/24/17,94.0,653951.0
49,49,Star Trek: Generations,38000000,Science Fiction,en,8.105708,11/17/94,118.0,120000000.0
50,50,"Moscow, Belgium",560000,Romance,nl,1.572904,1/30/08,102.0,1500000.0
51,51,The Great Race,12000000,Adventure,en,4.473327,7/1/65,160.0,25333333.0
52,52,The Last Flight of Noah's Ark,18000000.0,Adventure,en,1.012665,6/24/80,97.0,11000000.0
53,53,For Keeps,18000000.0,Drama,en,5.410839,1/15/88,98.0,17514553.0
54,54,Risen,20000000,Action,en,8.759801,2/19/16,107.0,46069568.0
55,55,Son in Law,18000000.0,Comedy,en,9.122718,7/2/93,95.0,36448200.0
56,56,Queen to Play,18000000.0,Comedy,fr,2.94798,8/5/09,97.0,1056938.0
57,57,Batman & Robin,125000000,Action,en,17.038824,6/20/97,125.0,238207122.0
58,58,Were The World Mine,18000000.0,Music,en,1.882446,6/24/08,95.0,119563.0
59,59,All About the Benjamins,14000000,Action,en,3.909079,3/8/02,95.0,25482931.0
60,60,Casino Royale,150000000,Adventure,en,23.065078,11/14/06,144.0,599045960.0
61,61,Trapeze,4000000,Drama,en,1.801071,5/30/56,105.0,14400000.0
62,62,Fallen,18000000.0,Thriller,en,6.381612,1/16/98,124.0,25232289.0
63,63,Friday the 13th Part VIII: Jason Takes Manhattan,5000000,Horror,en,7.743144,7/28/89,100.0,14000000.0
64,64,Nebraska,12000000,Drama,en,11.160699,9/21/13,115.0,17654912.0
65,65,Bloodsport,1500000,Action,en,8.822276,2/26/88,92.0,11806119.0
66,66,Henry's Crime,12000000,Crime,en,5.145185,1/14/10,108.0,204940.0
